id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10803,"Room in Deco Apartment, Brunswick East",38901,Lindsay,,Moreland,-37.76606,144.97951,Private room,56,7,192,2024-08-31,1.35,1,301,22,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,,3,42,2020-03-15,0.24,10,0,0,
38271,Berwick- Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05723,145.33982,Entire home/apt,119,1,253,2024-08-27,1.51,1,306,25,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69761,145.00066,Private room,,7,157,2018-08-22,0.93,2,0,0,
43414,Home In The City,189682,Belinda,,Melbourne,-37.81094,144.98487,Entire home/apt,186,21,17,2024-07-06,0.21,2,222,12,
43429,Tranquil Javanese Studio and Pond!,189684,Allan,,Monash,-37.89983,145.11579,Entire home/apt,123,2,259,2024-06-01,1.55,3,302,11,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14768,145.14364,Private room,89,5,61,2024-08-09,0.37,8,92,6,
47100,"Cosy, cute comfortable little home in top location",212071,Loren,,Yarra,-37.8183708190918,145.0050048828125,Entire home/apt,160,6,179,2024-01-08,1.05,1,39,2,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,272,2,457,2024-08-18,2.77,1,174,43,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,,3,70,2020-03-14,0.43,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.80347,145.03583,Private room,60,2,250,2024-08-25,1.51,1,333,27,
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14789,145.14163,Private room,79,5,42,2024-08-12,0.33,8,88,3,
74324,Eclectic luxury living (long term stays welcome),390761,Matt,,Yarra,-37.80415,144.97803,Entire home/apt,313,24,74,2024-05-31,0.65,1,332,4,
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,,3,80,2020-03-24,0.51,10,0,0,
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.87142,145.00785,Entire home/apt,225,28,14,2022-12-17,0.17,1,87,0,
103952,Spacious & Sunny 1BR with Pool & Tennis Court,541584,Felicity,,Port Phillip,-37.83095169067383,144.96913146972656,Entire home/apt,220,14,13,2024-02-22,0.08,1,365,2,
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,210,2,303,2024-06-30,1.88,1,335,5,
120487,Garden Bungalow with the Possums,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,130,4,105,2024-05-09,0.67,1,324,10,
133617,Life style and more on the Beach,646383,Hannah,,Port Phillip,-37.843176138165475,144.94162820097418,Private room,113,3,41,2024-03-26,0.26,1,179,9,
157427,"Stone's Throw Studio, Belgrave",717024,Margaret,,Yarra Ranges,-37.9067,145.35096,Entire home/apt,190,1,68,2024-08-08,0.44,2,166,8,
161033,Healesville Yarra Valley Cottage,770883,Karen,,Yarra Ranges,-37.63282,145.49638,Entire home/apt,110,2,307,2024-08-31,1.94,1,135,23,
163077,Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,,3,59,2020-03-29,0.38,10,0,0,
173426,Beautiful Northcote home with heart -close to city,804527,Tania,,Darebin,-37.76434,144.98624,Private room,,1,22,2023-01-16,0.14,1,0,0,
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,182833,Diana,,Darebin,-37.69884,145.00224,Private room,,2,1,2017-05-07,0.01,2,0,0,
210568,"Carnarvon, Armadale/St KldaE/Caulfl",1038237,Ian,,Glen Eira,-37.86717,145.02877,Private room,,3,25,2023-08-14,0.16,3,0,0,
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.71168,145.12235,Private room,,1,0,,,1,0,0,
229430,ROOM IN MODERN TOWNHOUSE Melbourne,1198300,Daniela,,Boroondara,-37.8317,145.04922,Private room,,2,23,2015-04-25,0.15,1,0,0,
232812,Parkland apartment on edge of CBD,950667,Rosemary,,Melbourne,-37.78398,144.9574,Entire home/apt,,2,7,2018-02-28,0.04,1,0,0,
235701,Art Deco Off St Kilda Rd Melbourne,1184705,Alastair,,Port Phillip,-37.843502044677734,144.97598266601562,Entire home/apt,100,4,88,2024-08-23,0.56,1,12,38,
240410,Beautifully Appointed Apt - Central,1260586,Neil,,Melbourne,-37.80455,144.95113,Entire home/apt,150,2,144,2024-09-01,0.98,1,288,16,
244952,Treehouse apartment in Fitzroy,287730,Rebecca,,Yarra,-37.80428,144.97916,Entire home/apt,117,5,371,2024-07-21,2.37,1,165,34,
